Man of Steel (2013),Average Rating: 6.5/10,2015,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Philip Seymour Hoffman"", ""Elizabeth Banks"", ""Julianne Moore""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
Captain Phillips,Average Rating: 6.2/10,2013,Action & Adventure,"[""Henry Cavill"", ""Amy Adams"", ""Michael Shannon"", ""Kevin Costner"", ""Diane Lane"", ""Laurence Fishburne"", ""Antje Traue"", ""Ayelet Zurer"", ""Christopher Meloni"", ""Russell Crowe""]","[""Charles Roven"", ""Christopher Nolan"", ""Emma Thomas"", ""Deborah Snyder""]","[""Zack Snyder""]"
Jack Reacher,Average Rating: 8.3/10,2013,Action & Adventure,"[""Tom Hanks"", ""Barkhad Abdi"", ""Barkhad Abdirahman"", ""Faysal Ahmed"", ""Mahat M. Ali"", ""Michael Chernus"", ""Corey Johnson"", ""Max Martini"", ""Chris Mulkey"", ""Yul Vazquez"", ""David Warshofsky"", """", """", """", """"]","[""Scott Rudin"", ""Dana Brunetti"", ""Michael De Luca""]","[""Paul Greengrass""]"
The Hunger Games: Catching Fire,Average Rating: 6.2/10,2012,Action & Adventure,"[""Tom Cruise"", ""Rosamund Pike"", ""Richard Jenkins"", ""Werner Herzog"", ""David Oyelowo"", ""Jai Courtney"", ""Joseph Sikora"", ""Robert Duvall""]","[""Tom Cruise"", ""Don Granger"", ""Paula Wagner"", ""Gary Levinsohn"", ""Jack Myers"", ""Ken Kamins"", ""Kevin Messick"", ""David Ellison""]","[""Christopher McQuarrie""]"
The Revenant,Average Rating: 7.5/10,2013,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Philip Seymour Hoffman"", ""Jeffrey Wright"", ""Stanley Tucci"", ""Donald Sutherland"", ""Jena Malone"", """", """", """"]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
Divergent,Average Rating: 7.9/10,2015,Drama,"[""Leonardo DiCaprio"", ""Tom Hardy"", ""Domhnall Gleeson"", ""Will Poulter""]",[],"[""Alejandro González Iñárritu""]"
Live Die Repeat: Edge of Tomorrow,Average Rating: 5.4/10,2014,Action & Adventure,"[""Shailene Woodley"", ""Theo James"", ""Miles Teller"", ""Maggie Q"", ""Ashley Judd"", ""Mekhi Phifer""]","[""Evan Daugherty"", ""Douglas Wick""]","[""Neil Burger""]"
Lucy,Average Rating: 7.5/10,2014,Action & Adventure,"[""Tom Cruise"", ""Emily Blunt"", ""Bill Paxton"", ""Brendan Gleeson"", ""Kick Gurry"", ""Dragomir Mrsic"", ""Charlotte Riley"", ""Jonas Armstrong"", ""Franz Drameh""]","[""Erwin Stoff"", ""Tom Lassally"", ""Jeffrey Silver"", ""Gregory Jacobs"", ""Jason Hoffs""]","[""Doug Liman""]"
Harry Potter and the Half-Blood Prince,Average Rating: 6.1/10,2014,Action & Adventure,"[""Scarlett Johansson"", ""Morgan Freeman"", ""Choi Min-sik"", ""Amr Waked""]","[""Virginie Besson-Silla""]","[""Luc Besson""]"
John Wick: Chapter 2,Average Rating: 7.1/10,2009,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Jim Broadbent"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Warwick Davis"", ""Michael Gambon"", ""Alan Rickman"", ""Maggie Smith"", ""Timothy Spall"", """", """", """", """", """", """", """", """"]","[""David Heyman"", ""David Barron""]","[""David Yates""]"
