Series Title,Genre,Season Number,Episode Number,Episode Title,Release_Year,Episode link
"Castle, Season 2",Drama,Season 2,8,Kill the Messenger,2009,https://itunes.apple.com/us/tv-season/kill-the-messenger/id329362510?i=339664646
"Castle, Season 2",Drama,Season 2,9,Love Me Dead,2009,https://itunes.apple.com/us/tv-season/love-me-dead/id329362510?i=341039053
"Castle, Season 2",Drama,Season 2,10,One Man's Treasure,2009,https://itunes.apple.com/us/tv-season/one-mans-treasure/id329362510?i=342422513
"Castle, Season 2",Drama,Season 2,11,The Fifth Bullet,2009,https://itunes.apple.com/us/tv-season/the-fifth-bullet/id329362510?i=345222710
"Castle, Season 2",Drama,Season 2,12,A Rose for Everafter,2009,https://itunes.apple.com/us/tv-season/a-rose-for-everafter/id329362510?i=350087136
"Castle, Season 2",Drama,Season 2,13,Sucker Punch,2009,https://itunes.apple.com/us/tv-season/sucker-punch/id329362510?i=350930385
"Castle, Season 2",Drama,Season 2,14,The Third Man,2009,https://itunes.apple.com/us/tv-season/the-third-man/id329362510?i=352524849
"Castle, Season 2",Drama,Season 2,15,Suicide Squeeze,2009,https://itunes.apple.com/us/tv-season/suicide-squeeze/id329362510?i=355270081
"Castle, Season 2",Drama,Season 2,16,The Mistress Always Spanks Twice,2009,https://itunes.apple.com/us/tv-season/the-mistress-always-spanks-twice/id329362510?i=360866907
"Castle, Season 2",Drama,Season 2,17,Tick Tick Tick,2009,https://itunes.apple.com/us/tv-season/tick-tick-tick/id329362510?i=363647679
"Castle, Season 2",Drama,Season 2,18,Boom!,2009,https://itunes.apple.com/us/tv-season/boom/id329362510?i=365220848
"Castle, Season 2",Drama,Season 2,19,Wrapped Up In Death,2009,https://itunes.apple.com/us/tv-season/wrapped-up-in-death/id329362510?i=366406977
"Castle, Season 2",Drama,Season 2,20,The Late Shaft,2009,https://itunes.apple.com/us/tv-season/the-late-shaft/id329362510?i=367394522
"Castle, Season 2",Drama,Season 2,21,Den of Thieves,2009,https://itunes.apple.com/us/tv-season/den-of-thieves/id329362510?i=368602904
"Castle, Season 2",Drama,Season 2,22,Food to Die For,2009,https://itunes.apple.com/us/tv-season/food-to-die-for/id329362510?i=371050003
"Castle, Season 2",Drama,Season 2,23,Overkill,2009,https://itunes.apple.com/us/tv-season/overkill/id329362510?i=372065634
