Movie Title,Release Year,Genre,Actors,Producers,Directors
The Lord of the Rings: The Fellowship of the Ring (Special Extended Edition),2011,Action & Adventure,"[""Josh Holloway"", ""Paula Patton"", ""Tom Cruise"", ""Léa Seydoux"", ""Simon Pegg"", ""Jeremy Renner"", ""Anil Kapoor"", ""Michael Nyqvist"", ""Vladimir Mashkov""]","[""Bryan Burk"", ""J.J. Abrams""]","[""Brad Bird""]"
Sicario,2001,Action & Adventure,"[""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""Sean Astin"", ""Cate Blanchett"", ""John Rhys-Davies"", ""Billy Boyd"", ""Dominic Monaghan"", ""Orlando Bloom"", ""Christopher Lee"", ""Hugo Weaving"", """", """", """"]","[""Barrie M. Osborne"", ""Peter Jackson"", ""Fran Walsh"", ""Tim Sanders""]","[""Peter Jackson""]"
The Lord of the Rings: The Return of the King (Special Extended Edition),2015,Thriller,"[""Emily Blunt"", ""Benicio Del Toro"", ""Josh Brolin"", ""Victor Garber"", ""Jon Bernthal""]","[""Basil Iwanyk""]","[""Denis Villeneuve""]"
Sherlock Holmes (2009),2003,Action & Adventure,"[""Elijah Wood"", ""Liv Tyler"", ""Viggo Mortensen"", ""Sean Astin"", ""Cate Blanchett"", ""John Rhys-Davies"", ""Bernard Hill"", ""Christopher Lee"", ""Billy Boyd"", ""Dominic Monaghan"", ""Orlando Bloom"", ""Hugo Weaving"", """", """", """", """", """"]","[""Barrie M. Osborne"", ""Fran Walsh"", ""Peter Jackson""]","[""Peter Jackson""]"
The Lord of the Rings: The Two Towers (Extended Edition),2009,Action & Adventure,"[""Robert Downey Jr."", ""Jude Law"", ""Rachel McAdams"", ""Mark Strong"", ""Eddie Marsan"", ""Kelly Reilly""]","[""Susan Downey"", ""Dan Lin"", ""Joel Silver"", ""Lionel Wigram""]","[""Guy Ritchie""]"
The Dark Knight,2002,Action & Adventure,"[""Elijah Wood"", ""Ian McKellen"", ""Liv Tyler"", ""Viggo Mortensen"", ""Sean Astin"", ""Cate Blanchett"", ""John Rhys-Davies"", ""Bernard Hill"", ""Christopher Lee"", ""Billy Boyd"", ""Dominic Monaghan"", ""Orlando Bloom"", """", """", """", """", """", """"]","[""Barrie M. Osborne"", ""Fran Walsh"", ""Peter Jackson""]","[""Peter Jackson""]"
Sherlock Holmes: A Game of Shadows,2008,Action & Adventure,"[""Christian Bale"", ""Michael Caine"", ""Heath Ledger"", ""Aaron Eckhart"", ""Maggie Gyllenhaal"", ""Morgan Freeman"", ""Gary Oldman""]","[""Christopher Nolan"", ""Charles Roven"", ""Emma Thomas""]","[""Christopher Nolan""]"
American Sniper,2011,Action & Adventure,"[""Robert Downey Jr."", ""Jude Law"", ""Noomi Rapace"", ""Jared Harris"", ""Eddie Marsan"", ""Rachel McAdams""]","[""Joel Silver"", ""Lionel Wigram"", ""Susan Downey"", ""Dan Lin""]","[""Guy Ritchie""]"
The Hunger Games: Mockingjay - Part 2,2014,Drama,"[""Bradley Cooper"", ""Sienna Miller"", ""Jake McDorman"", ""Luke Grimes"", ""Navid Negahban"", ""Keir O'Donnell""]","[""Bradley Cooper"", ""Clint Eastwood"", ""Robert Lorenz"", ""Andrew Lazar"", ""Peter Morgan""]","[""Clint Eastwood""]"
Captain Phillips,2015,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Philip Seymour Hoffman"", ""Elizabeth Banks"", ""Julianne Moore""]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
